ref	pos	strand	convertedBaseQualities	convertedBaseCount	unconvertedBaseQualities	unconvertedBaseCount
1	631150	+	F	1		0
1	631199	+	F	1		0
1	631200	+	F	1		0
1	631203	+	F	1		0
1	631204	+	F	1		0
1	631208	+	F	1		0
1	631211	+		0	F	1
1	631212	+	F	1		0
1	631215	+	F	1		0
1	631223	+	F	1		0
1	631224	-	F	1		0
1	631226	+	F	1		0
1	631227	+	F	1		0
1	631229	+	F	1		0
1	631232	+	F	1		0
1	631235	+	F	1		0
1	631238	+	F	1		0
1	631239	-	F	1		0
1	631245	-	F	1		0
1	631251	-	F	1		0
1	631257	-	F	1		0
1	631287	+	F	1		0
1	631288	+	F	1		0
1	631289	+	F	1		0
1	631292	+	F	1		0
1	631298	+	F	1		0
1	631304	+	F	1		0
1	631310	+	F	1		0
1	631313	+	F	1		0
1	631317	+	F	1		0
1	631323	+	F	1		0
1	631324	+	F	1		0
1	631325	+	F	1		0
1	631326	+	F	1		0
1	631752	-	F	1		0
1	631780	-	F	1		0
1	631788	-	F	1		0
1	631789	-	F	1		0
1	631884	+	F	1		0
1	631896	+	F	1		0
1	631901	+	F	1		0
1	631910	+	FF	2		0
1	631917	+	FF	2		0
1	631920	+	FF	2		0
1	631921	+	FF	2		0
1	631932	+	F	1		0
1	631940	+	F	1		0
1	631942	+	F	1		0
1	631944	+	F	1		0
1	631945	+	F	1		0
1	631955	+	F	1		0
1	631996	-	F	1		0
1	632011	-	F	1		0
1	632046	+	F	1		0
1	632048	+	F	1		0
1	632049	+	F	1		0
1	632051	+	F	1		0
1	632053	+	F	1		0
1	632055	+	F	1		0
1	632056	+	F	1		0
1	632058	+	F	1		0
1	632064	+	F	1		0
1	632078	+	:	1		0
1	632081	+	F	1		0
1	632084	+	FF	2		0
1	632089	+	FF	2		0
1	632091	+	FFF	3		0
1	632096	+	FFF	3		0
1	632097	+	FFF	3		0
1	632098	+	FFF	3		0
1	632113	+	FFFF	4		0
1	632118	+	FFFF	4		0
1	632120	+	FFFF	4		0
1	632121	+	FFFF	4		0
1	632130	+	FFFF	4		0
1	632131	+	FFFF	4		0
1	632135	+	FFFF	4		0
1	632139	+	FFFF	4		0
1	632150	+	FF	2		0
1	632154	+	F	1		0
1	632156	+	F	1		0
1	632159	+	F	1		0
1	632161	+	F	1		0
1	632166	+	F	1		0
1	632169	+	F	1		0
1	632170	-	F	1		0
1	632179	-	FF	2		0
1	632184	-	FF	2		0
1	632191	-	FF	2		0
1	632194	-	FF	2		0
1	632197	-	FF	2		0
1	632212	-	F	1		0
1	632228	+		0	F	1
1	632236	-	FF	2		0
1	632237	+		0	F	1
1	632238	+		0	F	1
1	632241	+		0	F	1
1	632245	-	FF	2		0
1	632246	-	FF	2		0
1	632248	-	FF	2		0
1	632249	-	FF	2		0
1	632250	+		0	F	1
1	632253	+		0	F	1
1	632257	+		0	F	1
1	632259	+		0	F	1
1	632261	-	FFF	3		0
1	632278	-	F	1		0
1	632279	-	F	1		0
1	632290	-	F	1		0
1	632394	+	F	1		0
1	632396	+	F	1		0
1	632400	+	F	1		0
1	632404	+	F	1		0
1	632405	+	F	1		0
1	632406	+	F	1		0
1	632411	+	F	1		0
1	632415	+	F	1		0
1	632417	+	F	1		0
1	632418	+	F	1		0
1	632420	+	F	1		0
1	632430	+	F	1		0
1	632431	+	F	1		0
1	632435	+	F	1		0
1	632438	+	F	1		0
1	632445	+	F	1		0
1	632447	+	F	1		0
1	632451	+	F	1		0
1	632761	+	F	1		0
1	632763	+	F	1		0
1	632767	+	F	1		0
1	632770	+	F	1		0
1	632772	+	F	1		0
1	632781	+	F	1		0
1	632784	+	F	1		0
1	632789	+	F	1		0
1	632791	+	F	1		0
1	632794	+	F	1		0
1	632797	+	F	1		0
1	632798	+	F	1		0
1	632799	+	F	1		0
1	632800	+	F	1		0
1	632804	+	F	1		0
1	632894	+	F	1		0
1	632896	+	F	1		0
1	632899	+	F	1		0
1	632904	+	F	1		0
1	632908	+	F	1		0
1	632914	+	F	1		0
1	632918	+	F	1		0
1	632921	+	F	1		0
1	632923	+	F	1		0
1	632927	+	F	1		0
1	632929	+	F	1		0
1	632931	+	F	1		0
1	632944	+	F	1		0
1	632945	+	F	1		0
1	633141	-	F	1		0
1	633147	-	F	1		0
1	633148	-	F	1		0
1	633150	-	F	1		0
1	633155	-	F	1		0
1	633157	-	F	1		0
1	633866	-	F	1		0
1	633870	-	F	1		0
1	633887	-	FF	2		0
1	633888	-	FF	2		0
1	633889	-	FF	2		0
1	633892	-	FF	2		0
1	633898	-	FF	2		0
1	633912	-	F	1		0
1	633933	-	F	1		0
1	633951	-	F	1		0
1	634292	-	FF	2		0
1	634302	-	F	1		0
1	634308	-	F	1		0
1	634311	-	F	1		0
1	634314	-	F	1		0
1	634326	-	F	1		0
1	634332	-	F	1		0
1	634529	+	F	1		0
1	634533	+	F	1		0
1	634534	+	F	1		0
1	634540	+	F	1		0
1	634541	+	F	1		0
1	634550	+	F	1		0
1	634552	+	F	1		0
1	634560	+	F	1		0
1	634562	+	F	1		0
1	634570	+	F	1		0
1	634572	+	F	1		0
1	634576	+	F	1		0
1	634577	+	F	1		0
1	634580	-	F	1		0
1	634581	-	F	1		0
1	634598	-	F	1		0
1	634603	-	F	1		0
1	634607	-	F	1		0
1	634608	-	F	1		0
1	634614	-	F	1		0
1	634618	+	F	1		0
1	634627	+	F	1		0
1	634628	+	F	1		0
1	634638	+	F	1		0
1	634639	+	F	1		0
1	634641	+	F	1		0
1	634654	+	F	1		0
1	634657	+	F	1		0
1	634659	+	F	1		0
1	634781	-	F	1		0
1	1455885	+	F	1		0
1	1455887	+	F	1		0
1	1455888	+	F	1		0
1	1455892	+	F	1		0
1	1455894	+	F	1		0
1	1455895	+	F	1		0
1	1455903	+	F	1		0
1	1455905	+	F	1		0
1	1455912	+	F	1		0
1	1455913	+	F	1		0
1	1456228	+	F	1		0
1	1456230	+	F	1		0
1	1456232	+	F	1		0
1	1456233	+	F	1		0
1	1456234	+	F	1		0
1	1456237	+	F	1		0
1	1456239	+	F	1		0
1	1456241	+	F	1		0
1	1456245	+	F	1		0
1	1486946	+	F	1		0
1	1486949	+	F	1		0
1	1486958	+	F	1		0
1	1486960	+	F	1		0
1	1486961	+	F	1		0
1	1486963	+	F	1		0
1	1486964	+	F	1		0
1	1486966	+	F	1		0
1	1486969	+	F	1		0
1	1486970	+	F	1		0
1	1486972	+	F	1		0
1	1486973	+	F	1		0
1	1486974	+	F	1		0
1	1486976	+	F	1		0
1	1486977	+	F	1		0
1	1486978	+	F	1		0
1	1486979	+	F	1		0
1	1486980	+	F	1		0
1	1486981	+	F	1		0
1	1486984	+	:	1		0
1	1486986	+	,	1		0
1	1486988	+	F	1		0
1	1486989	+	F	1		0
1	1486992	+	F	1		0
1	8057432	-	F	1		0
1	8057433	-	F	1		0
1	8057439	-	F	1		0
1	8057441	-	F	1		0
1	8057442	-	F	1		0
1	8057444	-	F	1		0
1	8057447	-	F	1		0
1	8057448	-	F	1		0
1	8057456	-	F	1		0
1	8057459	-	F	1		0
1	8057464	-	F	1		0
1	8057467	-	F	1		0
1	8057473	-	F	1		0
1	8057729	-	F	1		0
1	8057734	-	F	1		0
1	8057740	-	F	1		0
1	8057741	-	F	1		0
1	8057745	-	F	1		0
1	8057751	-	F	1		0
1	8057753	-	F	1		0
1	8057754	-	F	1		0
1	8057755	-	F	1		0
1	8057759	-	F	1		0
1	8861161	-	F	1		0
1	8861165	-	F	1		0
1	8861167	-	F	1		0
1	8861170	-	F	1		0
1	8861177	-	F	1		0
1	8861178	-	F	1		0
1	8861179	-	F	1		0
1	8861185	-	F	1		0
1	8861186	-	F	1		0
1	8861187	-	F	1		0
1	8861189	-	F	1		0
1	8861193	-	F	1		0
1	8861194	-	F	1		0
1	8861403	-	F	1		0
1	8861408	-	F	1		0
1	8861411	-	F	1		0
1	8861416	-	F	1		0
1	8862889	-	F	1		0
1	8862891	-	F	1		0
1	8862892	-	F	1		0
1	8862894	-	F	1		0
1	8862897	-	F	1		0
1	8862898	-	F	1		0
1	8862901	-	F	1		0
1	8862907	-	F	1		0
1	8862908	-	F	1		0
1	8862913	-	F	1		0
1	8862915	-	F	1		0
1	8862920	-	F	1		0
1	8862924	-	F	1		0
1	8865471	-	F	1		0
1	8865474	-	F	1		0
1	8865480	-	F	1		0
1	8865481	-	F	1		0
1	8866294	-	F	1		0
1	8866295	-	F	1		0
1	8866431	-	F	1		0
1	8866432	-	F	1		0
1	8866433	-	F	1		0
1	8866435	-	F	1		0
1	8866436	-	F	1		0
1	8866442	-	F	1		0
1	8866450	-	F	1		0
1	8866454	-	F	1		0
1	8866455	-	F	1		0
1	8866459	-	F	1		0
1	8866463	-	F	1		0
1	8866466	-	F	1		0
1	8866470	-	F	1		0
1	8866474	-	F	1		0
1	9582489	+	F	1		0
1	9582490	+	F	1		0
1	9582494	+	F	1		0
1	9582496	+	F	1		0
1	9582502	+	F	1		0
1	9582506	+	F	1		0
1	9582507	+	F	1		0
1	9582519	+	F	1		0
1	9582521	+	F	1		0
1	9781076	+	F	1		0
1	9781079	+	F	1		0
1	9781089	+	F	1		0
1	11018841	+	F	1		0
1	11018852	+	F	1		0
1	11018855	+	F	1		0
1	11018859	+	F	1		0
1	11018862	+	F	1		0
1	11018863	+	F	1		0
1	11018869	+	F	1		0
1	13116242	-	F	1		0
1	13116243	-	F	1		0
1	13116248	-	F	1		0
1	13116256	-	F	1		0
1	13116261	-	F	1		0
1	13116263	-	F	1		0
1	13116266	-	F	1		0
1	13116270	-	F	1		0
1	13116278	-	F	1		0
1	15604658	+	F	1		0
1	15604661	+	F	1		0
1	15604663	+	F	1		0
1	15604664	+	F	1		0
1	15604665	+	F	1		0
1	15604669	+	F	1		0
1	15604670	+	F	1		0
1	15604673	+	F	1		0
1	15604675	+	F	1		0
1	15604676	+	F	1		0
1	15604680	+	F	1		0
1	15604733	+	F	1		0
1	15604735	+	F	1		0
1	15604736	+	F	1		0
1	15604737	+	F	1		0
1	15604738	+	F	1		0
1	15604741	+	F	1		0
1	15604744	+	F	1		0
1	15604745	+	F	1		0
1	15604750	+	FF	2		0
1	15604757	+	FF	2		0
1	15604758	+	FF	2		0
1	15604759	+	FF	2		0
1	15604766	+	FF	2		0
1	15604769	+	FF	2		0
1	15604770	+	F	1	F	1
1	15604772	+	FF	2		0
1	15604775	+	FF	2		0
1	15604778	+	FF	2		0
1	15604782	+	F	1		0
1	15604829	+	F	1		0
1	15604836	+	F	1		0
1	15604839	+	F	1		0
1	15604856	+	F	1		0
1	15604861	+	F	1		0
1	15604862	+	F	1		0
1	15604865	+	F	1		0
1	15604870	+	F	1		0
1	15604871	+	F	1		0
1	15604875	+	F	1		0
1	15604878	+	F	1		0
1	15604880	+	F	1		0
1	15604884	+	F	1		0
1	15807535	-	F	1		0
1	15807539	-	F	1		0
1	15807544	-	F	1		0
1	15807555	-	F	1		0
1	15807558	-	F	1		0
1	15807562	-	F	1		0
1	15807563	-	F	1		0
1	15807564	-	F	1		0
1	15807565	-	F	1		0
1	16589933	-	F	1		0
1	16589946	-	F	1		0
1	16589951	-	F	1		0
1	16589954	-	F	1		0
1	16684779	-	F	1		0
1	16684814	-	F	1		0
1	16684939	-	F	1		0
1	16684941	-	F	1		0
1	16684943	-	F	1		0
1	16684951	-	F	1		0
1	16684953	-	F	1		0
1	16684964	-	F	1		0
1	19608402	+	F	1		0
1	19608404	+	F	1		0
1	19608405	+	F	1		0
1	19608409	+	F	1		0
1	19608410	+	F	1		0
1	19608412	+	F	1		0
1	19608427	+	F	1		0
1	19608428	+	F	1		0
1	19608433	+	F	1		0
1	19608434	+	F	1		0
1	19608435	+	F	1		0
1	19608442	+	F	1		0
1	19608448	+	F	1		0
1	19608449	+	F	1		0
1	19608450	+	F	1		0
1	19608454	+	FF	2		0
1	19608457	+	FF	2		0
1	19608458	+	FF	2		0
1	19608459	+	FF	2		0
1	19608461	+	FF	2		0
1	19608466	+	FF	2		0
1	19608467	+	FF	2		0
1	19608468	+	FF	2		0
1	19608472	+	FF	2		0
1	19608473	+	FF	2		0
1	19608476	+	FF	2		0
1	19608478	+	F	1		0
1	21703593	-	F	1		0
1	21703602	-	F	1		0
1	21703609	-	F	1		0
1	21703610	-	F	1		0
1	22092446	+	F	1		0
1	22092449	+	F	1		0
1	22092451	+	F	1		0
1	22092468	+	F	1		0
1	22092469	+	F	1		0
1	22092477	+	F	1		0
1	22092480	+	F	1		0
1	22092487	+	F	1		0
1	22092488	+	F	1		0
1	23967352	-	F	1		0
1	23967353	-	F	1		0
1	23967356	-	F	1		0
1	23967365	-	F	1		0
1	23967373	-	F	1		0
1	23967382	-	F	1		0
1	24406940	-	F	1		0
1	24406942	-	F	1		0
1	24406961	-	F	1		0
1	26455056	-	F	1		0
1	26455057	-	F	1		0
1	26455064	-	F	1		0
1	26455070	-	F	1		0
1	26455080	-	F	1		0
1	26455083	-	F	1		0
1	26455084	-	F	1		0
1	26455088	-	F	1		0
1	26455089	-	F	1		0
1	26455090	-	F	1		0
1	26455093	-	F	1		0
1	26455100	-	F	1		0
1	26942988	+	F	1		0
1	26942990	+	F	1		0
1	26942993	+	F	1		0
1	26943017	+	F	1		0
1	26943019	+	F	1		0
1	26943024	+	F	1		0
1	27108416	-	F	1		0
1	27108420	-	F	1		0
1	27108429	-	F	1		0
1	27108436	-	F	1		0
1	27108437	-	F	1		0
1	27108438	-	F	1		0
1	27108440	-	F	1		0
1	27108441	-	:	1		0
1	27108444	-	F	1		0
1	27108450	-	F	1		0
1	27108451	-	F	1		0
1	27108453	-	F	1		0
1	27108454	-	F	1		0
1	27108462	-	F	1		0
1	27176893	+	F	1		0
1	27176895	+	F	1		0
1	27176920	+	F	1		0
1	27176933	+	F	1		0
1	27176936	+	F	1		0
1	27207269	+	F	1		0
1	27207272	+	F	1		0
1	27207274	+	F	1		0
1	27207282	+	F	1		0
1	27207297	+	F	1		0
1	27207303	+	F	1		0
1	27207332	+	F	1		0
1	27207334	+	F	1		0
1	27207345	+	F,	2		0
1	27207353	+	F	1		0
1	27207357	+	F	1		0
1	27207360	+	:	1		0
1	27207361	+	F	1		0
1	27207362	+	F	1		0
1	27207363	+	F	1		0
1	27207376	+	F	1		0
1	27207383	+	F	1		0
1	27207384	+	F	1		0
1	27207386	+	F	1		0
1	27207468	+	F	1		0
1	27207482	+	F	1		0
1	27207483	+	F	1		0
1	27207495	+	F	1		0
1	27207507	+	F	1		0
1	27207639	+	F	1		0
1	27207649	+	F	1		0
1	27207657	+	F	1		0
1	27207665	+	F	1		0
1	27207669	+	F	1		0
1	27207736	+	FF	2		0
1	27207739	+	FF	2		0
1	27207747	+	FF	2		0
1	27207751	+	FF	2		0
1	27207752	+	FF	2		0
1	27207759	+	FF	2		0
1	27207764	+	FF	2		0
1	27207770	+	FF	2		0
1	27207772	+	FF	2		0
1	27207776	+	F	1		0
1	27208501	+	F	1		0
1	27208512	+	F	1		0
1	27208516	+	F	1		0
1	27208517	+	F	1		0
1	27208518	+	F	1		0
1	27208521	+	F	1		0
1	27208522	+	F	1		0
1	27208541	+	F	1		0
1	27208542	+	F	1		0
1	27208548	+	F	1		0
1	27208549	+	F	1		0
1	27208648	+	F	1		0
1	27208659	+	F	1		0
1	27208666	+	F	1		0
1	27208670	+	F	1		0
1	27408235	-	F	1		0
1	27408237	-	F	1		0
1	27408243	-	F	1		0
1	27408253	-	F	1		0
1	27408258	-	F	1		0
1	27408260	-	F	1		0
1	27408263	-	F	1		0
1	27408265	-	F	1		0
1	27408270	-	F	1		0
1	27408273	-	F	1		0
1	28095977	-	F	1		0
1	28095980	-	F	1		0
1	28095981	-	F	1		0
1	28095991	-	F	1		0
1	28095993	-	F	1		0
1	28095994	-	F	1		0
1	28095995	-	:	1		0
1	28096000	-	F	1		0
1	28096002	-	F	1		0
1	28096006	-	F	1		0
1	28096009	-	F	1		0
1	31487985	-	F	1		0
1	31487995	-	F	1		0
1	31487999	-	F	1		0
1	31488010	-	F	1		0
1	31488016	-	F	1		0
1	31488019	-	F	1		0
1	31488028	-	F	1		0
1	31488597	-	F	1		0
1	31488600	-	F	1		0
1	31488610	-	F	1		0
1	31488611	-	F	1		0
1	31488615	-	F	1		0
1	31488620	-	F	1		0
1	31488624	-	F	1		0
1	31488630	-	F	1		0
1	33010479	-	F	1		0
1	33010482	-	F	1		0
1	33010484	-	F	1		0
1	33010485	-	F	1		0
1	33010491	-	F	1		0
1	33010493	-	F	1		0
1	33010498	-	F	1		0
1	33010499	-	F	1		0
1	33010521	-	F	1		0
1	33010526	-	F	1		0
1	35350791	+	F	1		0
1	35350804	+	F	1		0
1	35350811	+	F	1		0
1	35351445	+	F	1		0
1	35351447	+	F	1		0
1	35351451	+	F	1		0
1	35351454	+	F	1		0
1	35351459	+	F	1		0
1	35351468	+	:	1		0
1	35351469	+	F	1		0
1	35351473	+	F	1		0
1	35351486	+	F	1		0
1	35351487	+	F	1		0
1	35351488	+	F	1		0
1	37556265	+		0	F	1
1	37556267	+		0	F	1
1	37556268	+		0	F	1
1	37556271	+		0	F	1
1	37556274	+		0	F	1
1	37556275	+		0	F	1
1	37556276	+		0	F	1
1	37556278	+	F	1	F	1
1	37556279	+	FF	2		0
1	37556280	+	F	1	F	1
1	37556281	+	F	1	F	1
1	37556301	+	F	1	F	1
1	37556303	+	F	1	F	1
1	37556313	+	F	1	F	1
1	37556315	+	F	1	F	1
1	37556316	+	F	1	F	1
1	37556322	+	F	1	F	1
1	37556327	+	F	1		0
1	37556328	+	F	1		0
1	37556329	+	F	1		0
1	37556330	+	F	1		0
1	37556335	+	F	1		0
1	37556336	+	F	1		0
1	37556339	+	F	1		0
1	37556342	+	F	1		0
1	37958046	-	F	1		0
1	37958051	-	F	1		0
1	37958061	-	F	1		0
1	37958064	-	F	1		0
1	37958068	-	F	1		0
1	37958072	-	F	1		0
1	37958078	-	F	1		0
1	37958080	-	F	1		0
1	37958089	-	F	1		0
1	37958094	-	F	1		0
1	37958095	-	F	1		0
1	37958096	-	F	1		0
1	37958104	-	F	1		0
1	37958106	-	F	1		0
1	37958107	-	F	1		0
1	38709076	+	F	1		0
1	38709079	+	F	1		0
1	38709081	+	F	1		0
1	38709082	+	F	1		0
1	38709085	+	F	1		0
1	38709089	+	F	1		0
1	38709094	+	F	1		0
1	38709097	+	F	1		0
1	38709098	+	F	1		0
1	38709100	+	F	1		0
1	38709103	+	F	1		0
1	38709107	+	F	1		0
1	38709108	+	F	1		0
1	38709111	+	F	1		0
1	38709112	+	F	1		0
1	38709603	+	F	1		0
1	38709604	+	F	1		0
1	38709615	+	F	1		0
1	38709617	+	F	1		0
1	38709620	+	F	1		0
1	38709622	+	F	1		0
1	38709624	+	F	1		0
1	38709625	+	F	1		0
1	38709631	+	,	1		0
1	38709669	+	F	1		0
1	38709674	+	F	1		0
1	38709688	+	F	1		0
1	38709694	+	F	1		0
1	38709695	+	F	1		0
1	38709698	+	F	1		0
1	38709703	+	F	1		0
1	38709710	+	F	1		0
1	38709712	+	F	1		0
1	38709715	+	F	1		0
1	38709718	+	F	1		0
1	38710671	+	F	1		0
1	38710683	+	F	1		0
1	38710687	+	F	1		0
1	38710688	+	F	1		0
1	38710690	+	F	1		0
1	38710705	+	F	1		0
1	38710706	+	F	1		0
1	38710870	+	F	1		0
1	38710873	+	F	1		0
1	38710894	+	F	1		0
1	38710896	+	F	1		0
1	38710901	+	F	1		0
1	38710904	+	F	1		0
1	38958234	-	F	1		0
1	38958238	-	F	1		0
1	38958254	-	F	1		0
1	38958260	-	F	1		0
1	38958262	-	F	1		0
1	38958264	-	F	1		0
1	38958270	-	F	1		0
1	38958278	-	F	1		0
1	39962837	+	F	1		0
1	39962838	+	F	1		0
1	39962845	+	F	1		0
1	39962846	+	F	1		0
1	39962848	+	F	1		0
1	39962850	+	F	1		0
1	39962852	+	F	1		0
1	39962877	+	F	1		0
1	39962878	+	F	1		0
1	39962883	+	F	1		0
1	39962889	+	F	1		0
1	39962893	+	:	1		0
1	39962894	+	F	1		0
1	39962895	+	F	1		0
1	39962899	+	F	1		0
1	39962900	+	F	1		0
1	39962903	+	F	1		0
1	39962904	+	F	1		0
1	39963174	+	F	1		0
1	39963175	+	F	1		0
1	39963176	+	F	1		0
1	39963183	+	F	1		0
1	39963186	+	F	1		0
1	39963188	+	F	1		0
1	39963196	+	F	1		0
1	39963203	+	FF	2		0
1	39963209	+	FF	2		0
1	39963212	+	FF	2		0
1	39963215	+	FF	2		0
1	39963217	+	FF	2		0
1	39963218	+	FF	2		0
1	39963220	+	,F	2		0
1	39963223	+	FF	2		0
1	39963224	+	FF	2		0
1	39963225	+	:F	2		0
1	39963230	+	,F	2		0
1	39963233	+	,F	2		0
1	39963235	+	,F	2		0
1	39963238	+	,	1		0
1	39963239	+	F	1		0
1	39963241	+	:	1		0
1	39963242	+	F	1		0
1	39963243	+	F	1		0
1	39963248	+	F	1		0
1	40364874	+	F	1		0
1	40364876	+	F	1		0
1	40364881	+	F	1		0
1	40364885	+	F	1		0
1	40364890	+	F	1		0
1	40364891	+	F	1		0
1	40364892	+	F	1		0
1	40364899	+	F	1		0
1	40364900	+	F	1		0
1	40364905	+	F	1		0
1	40364906	+	F	1		0
1	40364907	+	F	1		0
1	40364911	+	F	1		0
1	40364912	+	F	1		0
1	42491949	+	F	1		0
1	42491953	+	F	1		0
1	42491958	+	F	1		0
1	42491961	+	F	1		0
1	42491977	+	F	1		0
1	42491990	+	F	1		0
1	42491994	+	F	1		0
1	42500074	-	F	1		0
1	42500078	-	F	1		0
1	42500079	-	F	1		0
1	42500080	-	F	1		0
1	42500081	-	F	1		0
1	42500084	-	F	1		0
1	42500089	-	F	1		0
1	42500102	-	F	1		0
1	42500116	-	F	1		0
1	42500128	-	F	1		0
1	42700814	+	F	1		0
1	42700817	+	F	1		0
1	42700839	+	F	1		0
1	42700852	+	F	1		0
1	42700853	+	F	1		0
1	42700854	+	F	1		0
1	42700860	+	F	1		0
1	42700863	+	:	1		0
1	42700866	+	F	1		0
1	42700867	+	F	1		0
1	42700869	+	:	1		0
1	42700870	+	F	1		0
1	42700872	+	F	1		0
1	42700875	+	,	1		0
1	42700878	+	F	1		0
1	42700883	+	F	1		0
1	42700901	+	F	1		0
1	42700902	+	F	1		0
1	42700905	+	F	1		0
1	42700907	+	F	1		0
1	42700911	+	F	1		0
1	42700913	+	F	1		0
1	42700914	+	F	1		0
1	42700915	+	F	1		0
1	42700922	+	F	1		0
1	42700923	+	F	1		0
1	42700924	+	F	1		0
1	42700929	+	F	1		0
1	42700930	+	F	1		0
1	42700932	+	F	1		0
1	42700940	+	F	1		0
1	42903311	+	F	1		0
1	42903326	+	F	1		0
1	42903332	+	F	1		0
1	42903345	+	F	1		0
1	42903348	+	F	1		0
1	44122341	-	F	1		0
1	44122343	-	F	1		0
1	44122350	-	F	1		0
1	44122353	-	F	1		0
1	44122358	-	F	1		0
1	44122359	-	F	1		0
1	44122366	-	F	1		0
1	44122373	-	F	1		0
1	44122374	-	F	1		0
1	44122375	-	F	1		0
1	44776680	+	F	1		0
1	44776681	+	F	1		0
1	44776682	+	F	1		0
1	44776683	+	F	1		0
1	44776684	+	F	1		0
1	44776686	+	F	1		0
1	44776687	+	F	1		0
1	44776689	+	F	1		0
1	44776692	+	F	1		0
1	44776693	+	F	1		0
1	44776695	+	F	1		0
1	44776697	+	F	1		0
1	44776701	+	F	1		0
1	44776702	+	F	1		0
1	44776708	+	F	1		0
1	44777651	+	F	1		0
1	44777656	+	F	1		0
1	44777659	+	F	1		0
1	44777666	+	F	1		0
1	44777670	+	F	1		0
1	44777676	+	F	1		0
1	44777680	+	F	1		0
1	44777681	+	F	1		0
1	44777686	+	FF	2		0
1	44777687	+	FF	2		0
1	44777688	+	FF	2		0
1	44777702	+	FF	2		0
1	44777705	+	FF	2		0
1	44777709	+	FF	2		0
1	44777711	+	FF	2		0
1	44777714	+	FF	2		0
1	44777717	+	F	1		0
1	44777720	+	F	1		0
1	44777722	+	F	1		0
1	44777724	+	F	1		0
1	44777725	+	F	1		0
1	44777733	+	F	1		0
1	44777741	+	F	1		0
1	44777746	+	F	1		0
1	44777747	+	F	1		0
1	44777748	+	F	1		0
1	44777750	+	F	1		0
1	44777755	+	F	1		0
1	44777757	+	F	1		0
1	44777760	+	F	1		0
1	44777761	+	F	1		0
1	44777762	+	F	1		0
1	44777763	+	F	1		0
1	44777768	+		0	F	1
1	44777769	+	F	1		0
1	44777771	+	F	1		0
1	44778594	+	F	1		0
1	44778599	+	F	1		0
1	44778607	+	F	1		0
1	44778608	+	F	1		0
1	44778612	+	F	1		0
1	44778619	+	F	1		0
1	44778626	+	F	1		0
1	44778634	+	F	1		0
1	44780506	-	F	1		0
1	44780511	-	F	1		0
1	44780515	-	F	1		0
1	44780519	-	F	1		0
1	44780521	-	F	1		0
1	44780523	-	F	1		0
1	44780524	-	F	1		0
1	44780543	-	F	1		0
