ref	pos	strand	convertedBaseCount	unconvertedBaseCount
1	8866432	-	1	0
1	8866433	-	1	0
1	8866435	-	1	0
1	8866436	-	1	0
1	8866442	-	1	0
1	8866450	-	1	0
1	8866454	-	1	0
1	8866455	-	1	0
1	8866459	-	1	0
1	8866463	-	1	0
1	8866466	-	1	0
1	8866470	-	1	0
1	8866474	-	1	0
1	9582489	+	1	0
1	9582490	+	1	0
1	9582494	+	1	0
1	9582496	+	1	0
1	9582502	+	1	0
1	9582506	+	1	0
1	9582507	+	1	0
1	9582519	+	1	0
1	9582521	+	1	0
1	9781076	+	1	0
1	9781079	+	1	0
1	9781089	+	1	0
1	11018841	+	1	0
1	11018852	+	1	0
1	11018855	+	1	0
1	11018859	+	1	0
1	11018862	+	1	0
1	11018863	+	1	0
1	11018869	+	1	0
1	13116242	-	1	0
1	13116243	-	1	0
1	13116248	-	1	0
1	13116256	-	1	0
1	13116261	-	1	0
1	13116263	-	1	0
1	13116266	-	1	0
1	13116270	-	1	0
1	13116278	-	1	0
1	15604658	+	1	0
1	15604661	+	1	0
1	15604663	+	1	0
1	15604664	+	1	0
1	15604665	+	1	0
1	15604669	+	1	0
1	15604670	+	1	0
1	15604673	+	1	0
1	15604675	+	1	0
1	15604676	+	1	0
1	15604680	+	1	0
1	15604733	+	1	0
1	15604735	+	1	0
1	15604736	+	1	0
1	15604737	+	1	0
1	15604738	+	1	0
1	15604741	+	1	0
1	15604744	+	1	0
1	15604745	+	1	0
1	15604750	+	2	0
1	15604757	+	2	0
1	15604758	+	2	0
1	15604759	+	2	0
1	15604766	+	2	0
1	15604769	+	2	0
1	15604770	+	1	1
1	15604772	+	2	0
1	15604775	+	2	0
1	15604778	+	2	0
1	15604782	+	1	0
1	15604829	+	1	0
1	15604836	+	1	0
1	15604839	+	1	0
1	15604856	+	1	0
1	15604861	+	1	0
1	15604862	+	1	0
1	15604865	+	1	0
1	15604870	+	1	0
1	15604871	+	1	0
1	15604875	+	1	0
1	15604878	+	1	0
1	15604880	+	1	0
1	15604884	+	1	0
1	15807535	-	1	0
1	15807539	-	1	0
1	15807544	-	1	0
1	15807555	-	1	0
1	15807558	-	1	0
1	15807562	-	1	0
1	15807563	-	1	0
1	15807564	-	1	0
1	15807565	-	1	0
1	16589933	-	1	0
1	16589946	-	1	0
1	16589951	-	1	0
1	16589954	-	1	0
1	16684779	-	1	0
1	16684814	-	1	0
1	16684939	-	1	0
1	16684941	-	1	0
1	16684943	-	1	0
1	16684951	-	1	0
1	16684953	-	1	0
1	16684964	-	1	0
1	19608402	+	1	0
1	19608404	+	1	0
1	19608405	+	1	0
1	19608409	+	1	0
1	19608410	+	1	0
1	19608412	+	1	0
1	19608427	+	1	0
1	19608428	+	1	0
1	19608433	+	1	0
1	19608434	+	1	0
1	19608435	+	1	0
1	19608442	+	1	0
1	19608448	+	1	0
1	19608449	+	1	0
1	19608450	+	1	0
1	19608454	+	2	0
1	19608457	+	2	0
1	19608458	+	2	0
1	19608459	+	2	0
1	19608461	+	2	0
1	19608466	+	2	0
1	19608467	+	2	0
1	19608468	+	2	0
1	19608472	+	2	0
1	19608473	+	2	0
1	19608476	+	2	0
1	19608478	+	1	0
1	21703593	-	1	0
1	21703602	-	1	0
1	21703609	-	1	0
1	21703610	-	1	0
1	22092446	+	1	0
1	22092449	+	1	0
1	22092451	+	1	0
1	22092468	+	1	0
1	22092469	+	1	0
1	22092477	+	1	0
1	22092480	+	1	0
1	22092487	+	1	0
1	22092488	+	1	0
1	23967352	-	1	0
1	23967353	-	1	0
1	23967356	-	1	0
1	23967365	-	1	0
1	23967373	-	1	0
1	23967382	-	1	0
1	24406940	-	1	0
1	24406942	-	1	0
1	24406961	-	1	0
1	26455056	-	1	0
1	26455057	-	1	0
1	26455064	-	1	0
1	26455070	-	1	0
1	26455080	-	1	0
1	26455083	-	1	0
1	26455084	-	1	0
1	26455088	-	1	0
1	26455089	-	1	0
1	26455090	-	1	0
1	26455093	-	1	0
1	26455100	-	1	0
1	26942988	+	1	0
1	26942990	+	1	0
1	26942993	+	1	0
1	26943017	+	1	0
1	26943019	+	1	0
1	26943024	+	1	0
1	27108416	-	1	0
1	27108420	-	1	0
1	27108429	-	1	0
1	27108436	-	1	0
1	27108437	-	1	0
1	27108438	-	1	0
1	27108440	-	1	0
1	27108441	-	1	0
1	27108444	-	1	0
1	27108450	-	1	0
1	27108451	-	1	0
1	27108453	-	1	0
1	27108454	-	1	0
1	27108462	-	1	0
1	27176893	+	1	0
1	27176895	+	1	0
1	27176920	+	1	0
1	27176933	+	1	0
1	27176936	+	1	0
1	27207269	+	1	0
1	27207272	+	1	0
1	27207274	+	1	0
1	27207282	+	1	0
1	27207297	+	1	0
1	27207303	+	1	0
1	27207332	+	1	0
1	27207334	+	1	0
1	27207345	+	2	0
1	27207353	+	1	0
1	27207357	+	1	0
1	27207360	+	1	0
1	27207361	+	1	0
1	27207362	+	1	0
1	27207363	+	1	0
1	27207376	+	1	0
1	27207383	+	1	0
1	27207384	+	1	0
1	27207386	+	1	0
1	27207468	+	1	0
1	27207482	+	1	0
1	27207483	+	1	0
1	27207495	+	1	0
1	27207507	+	1	0
1	27207639	+	1	0
1	27207649	+	1	0
1	27207657	+	1	0
1	27207665	+	1	0
1	27207669	+	1	0
1	27207736	+	2	0
1	27207739	+	2	0
1	27207747	+	2	0
1	27207751	+	2	0
1	27207752	+	2	0
1	27207759	+	2	0
1	27207764	+	2	0
1	27207770	+	2	0
1	27207772	+	2	0
1	27207776	+	1	0
1	27208501	+	1	0
1	27208512	+	1	0
1	27208516	+	1	0
1	27208517	+	1	0
1	27208518	+	1	0
1	27208521	+	1	0
1	27208522	+	1	0
1	27208541	+	1	0
1	27208542	+	1	0
1	27208548	+	1	0
1	27208549	+	1	0
1	27208648	+	1	0
1	27208659	+	1	0
1	27208666	+	1	0
1	27208670	+	1	0
1	27408235	-	1	0
1	27408237	-	1	0
1	27408243	-	1	0
1	27408253	-	1	0
1	27408258	-	1	0
1	27408260	-	1	0
1	27408263	-	1	0
1	27408265	-	1	0
1	27408270	-	1	0
1	27408273	-	1	0
1	28095977	-	1	0
1	28095980	-	1	0
1	28095981	-	1	0
1	28095991	-	1	0
1	28095993	-	1	0
1	28095994	-	1	0
1	28095995	-	1	0
1	28096000	-	1	0
1	28096002	-	1	0
1	28096006	-	1	0
1	28096009	-	1	0
1	31487985	-	1	0
1	31487995	-	1	0
1	31487999	-	1	0
1	31488010	-	1	0
1	31488016	-	1	0
1	31488019	-	1	0
1	31488028	-	1	0
1	31488597	-	1	0
1	31488600	-	1	0
1	31488610	-	1	0
1	31488611	-	1	0
1	31488615	-	1	0
1	31488620	-	1	0
1	31488624	-	1	0
1	31488630	-	1	0
1	33010479	-	1	0
1	33010482	-	1	0
1	33010484	-	1	0
1	33010485	-	1	0
1	33010491	-	1	0
1	33010493	-	1	0
1	33010498	-	1	0
1	33010499	-	1	0
1	33010521	-	1	0
1	33010526	-	1	0
1	35350791	+	1	0
1	35350804	+	1	0
1	35350811	+	1	0
1	35351445	+	1	0
1	35351447	+	1	0
1	35351451	+	1	0
1	35351454	+	1	0
1	35351459	+	1	0
1	35351468	+	1	0
1	35351469	+	1	0
1	35351473	+	1	0
1	35351486	+	1	0
1	35351487	+	1	0
1	35351488	+	1	0
1	37556265	+	0	1
1	37556267	+	0	1
1	37556268	+	0	1
1	37556271	+	0	1
1	37556274	+	0	1
1	37556275	+	0	1
1	37556276	+	0	1
1	37556278	+	1	1
1	37556279	+	2	0
1	37556280	+	1	1
1	37556281	+	1	1
1	37556301	+	1	1
1	37556303	+	1	1
1	37556313	+	1	1
1	37556315	+	1	1
1	37556316	+	1	1
1	37556322	+	1	1
1	37556327	+	1	0
1	37556328	+	1	0
1	37556329	+	1	0
1	37556330	+	1	0
1	37556335	+	1	0
1	37556336	+	1	0
1	37556339	+	1	0
1	37556342	+	1	0
1	37958046	-	1	0
1	37958051	-	1	0
1	37958061	-	1	0
1	37958064	-	1	0
1	37958068	-	1	0
1	37958072	-	1	0
1	37958078	-	1	0
1	37958080	-	1	0
1	37958089	-	1	0
1	37958094	-	1	0
1	37958095	-	1	0
1	37958096	-	1	0
1	37958104	-	1	0
1	37958106	-	1	0
1	37958107	-	1	0
1	38709076	+	1	0
1	38709079	+	1	0
1	38709081	+	1	0
1	38709082	+	1	0
1	38709085	+	1	0
1	38709089	+	1	0
1	38709094	+	1	0
1	38709097	+	1	0
1	38709098	+	1	0
1	38709100	+	1	0
1	38709103	+	1	0
1	38709107	+	1	0
1	38709108	+	1	0
1	38709111	+	1	0
1	38709112	+	1	0
1	38709603	+	1	0
1	38709604	+	1	0
1	38709615	+	1	0
1	38709617	+	1	0
1	38709620	+	1	0
1	38709622	+	1	0
1	38709624	+	1	0
1	38709625	+	1	0
1	38709631	+	1	0
1	38709669	+	1	0
1	38709674	+	1	0
1	38709688	+	1	0
1	38709694	+	1	0
1	38709695	+	1	0
1	38709698	+	1	0
1	38709703	+	1	0
1	38709710	+	1	0
1	38709712	+	1	0
1	38709715	+	1	0
1	38709718	+	1	0
1	38710671	+	1	0
1	38710683	+	1	0
1	38710687	+	1	0
1	38710688	+	1	0
1	38710690	+	1	0
1	38710705	+	1	0
1	38710706	+	1	0
1	38710870	+	1	0
1	38710873	+	1	0
1	38710894	+	1	0
1	38710896	+	1	0
1	38710901	+	1	0
1	38710904	+	1	0
1	38958234	-	1	0
1	38958238	-	1	0
1	38958254	-	1	0
1	38958260	-	1	0
1	38958262	-	1	0
1	38958264	-	1	0
1	38958270	-	1	0
1	38958278	-	1	0
1	39962837	+	1	0
1	39962838	+	1	0
1	39962845	+	1	0
1	39962846	+	1	0
1	39962848	+	1	0
1	39962850	+	1	0
1	39962852	+	1	0
1	39962877	+	1	0
1	39962878	+	1	0
1	39962883	+	1	0
1	39962889	+	1	0
1	39962893	+	1	0
1	39962894	+	1	0
1	39962895	+	1	0
1	39962899	+	1	0
1	39962900	+	1	0
1	39962903	+	1	0
1	39962904	+	1	0
1	39963174	+	1	0
1	39963175	+	1	0
1	39963176	+	1	0
1	39963183	+	1	0
1	39963186	+	1	0
1	39963188	+	1	0
1	39963196	+	1	0
1	39963203	+	2	0
1	39963209	+	2	0
1	39963212	+	2	0
1	39963215	+	2	0
1	39963217	+	2	0
1	39963218	+	2	0
1	39963220	+	2	0
1	39963223	+	2	0
1	39963224	+	2	0
1	39963225	+	2	0
1	39963230	+	2	0
1	39963233	+	2	0
1	39963235	+	2	0
1	39963238	+	1	0
1	39963239	+	1	0
1	39963241	+	1	0
1	39963242	+	1	0
1	39963243	+	1	0
1	39963248	+	1	0
1	40364874	+	1	0
1	40364876	+	1	0
1	40364881	+	1	0
1	40364885	+	1	0
1	40364890	+	1	0
1	40364891	+	1	0
1	40364892	+	1	0
1	40364899	+	1	0
1	40364900	+	1	0
1	40364905	+	1	0
1	40364906	+	1	0
1	40364907	+	1	0
1	40364911	+	1	0
1	40364912	+	1	0
1	42491949	+	1	0
1	42491953	+	1	0
1	42491958	+	1	0
1	42491961	+	1	0
1	42491977	+	1	0
1	42491990	+	1	0
1	42491994	+	1	0
1	42500074	-	1	0
1	42500078	-	1	0
1	42500079	-	1	0
1	42500080	-	1	0
1	42500081	-	1	0
1	42500084	-	1	0
1	42500089	-	1	0
1	42500102	-	1	0
1	42500116	-	1	0
1	42500128	-	1	0
1	42700814	+	1	0
1	42700817	+	1	0
1	42700839	+	1	0
1	42700852	+	1	0
1	42700853	+	1	0
1	42700854	+	1	0
1	42700860	+	1	0
1	42700863	+	1	0
1	42700866	+	1	0
1	42700867	+	1	0
1	42700869	+	1	0
1	42700870	+	1	0
1	42700872	+	1	0
1	42700875	+	1	0
1	42700878	+	1	0
1	42700883	+	1	0
1	42700901	+	1	0
1	42700902	+	1	0
1	42700905	+	1	0
1	42700907	+	1	0
1	42700911	+	1	0
1	42700913	+	1	0
1	42700914	+	1	0
1	42700915	+	1	0
1	42700922	+	1	0
1	42700923	+	1	0
1	42700924	+	1	0
1	42700929	+	1	0
1	42700930	+	1	0
1	42700932	+	1	0
1	42700940	+	1	0
1	42903311	+	1	0
1	42903326	+	1	0
1	42903332	+	1	0
1	42903345	+	1	0
1	42903348	+	1	0
1	44122341	-	1	0
1	44122343	-	1	0
1	44122350	-	1	0
1	44122353	-	1	0
1	44122358	-	1	0
1	44122359	-	1	0
1	44122366	-	1	0
1	44122373	-	1	0
1	44122374	-	1	0
1	44122375	-	1	0
1	44776680	+	1	0
1	44776681	+	1	0
1	44776682	+	1	0
1	44776683	+	1	0
1	44776684	+	1	0
1	44776686	+	1	0
1	44776687	+	1	0
1	44776689	+	1	0
1	44776692	+	1	0
1	44776693	+	1	0
1	44776695	+	1	0
1	44776697	+	1	0
1	44776701	+	1	0
1	44776702	+	1	0
1	44776708	+	1	0
1	44777651	+	1	0
1	44777656	+	1	0
1	44777659	+	1	0
1	44777666	+	1	0
1	44777670	+	1	0
1	44777676	+	1	0
1	44777680	+	1	0
1	44777681	+	1	0
1	44777686	+	2	0
1	44777687	+	2	0
1	44777688	+	2	0
1	44777702	+	2	0
1	44777705	+	2	0
1	44777709	+	2	0
1	44777711	+	2	0
1	44777714	+	2	0
1	44777717	+	1	0
1	44777720	+	1	0
1	44777722	+	1	0
1	44777724	+	1	0
1	44777725	+	1	0
1	44777733	+	1	0
1	44777741	+	1	0
1	44777746	+	1	0
1	44777747	+	1	0
1	44777748	+	1	0
1	44777750	+	1	0
1	44777755	+	1	0
1	44777757	+	1	0
1	44777760	+	1	0
1	44777761	+	1	0
1	44777762	+	1	0
1	44777763	+	1	0
1	44777768	+	0	1
1	44777769	+	1	0
1	44777771	+	1	0
1	44778594	+	1	0
1	44778599	+	1	0
1	44778607	+	1	0
1	44778608	+	1	0
1	44778612	+	1	0
1	44778619	+	1	0
1	44778626	+	1	0
1	44778634	+	1	0
1	44780506	-	1	0
1	44780511	-	1	0
1	44780515	-	1	0
1	44780519	-	1	0
1	44780521	-	1	0
1	44780523	-	1	0
1	44780524	-	1	0
1	44780543	-	1	0
1	44780677	-	1	0
1	44780683	-	1	0
1	44780685	-	1	0
1	44780687	-	1	0
1	44780693	-	1	0
1	44780697	-	1	0
1	44780698	-	1	0
1	44780699	-	1	0
1	44780707	-	1	0
1	44780709	-	1	0
1	46316594	+	1	0
1	46316601	+	1	0
1	46316603	+	1	0
1	46316604	+	1	0
1	46316605	+	1	0
1	46316606	+	2	0
1	46316610	+	2	0
1	46316613	+	2	0
1	46316616	+	2	0
1	46316619	+	2	0
1	46316624	+	2	0
1	46316627	+	2	0
1	46316637	+	4	0
1	46316638	+	4	0
1	46316656	+	3	0
1	46316657	+	3	0
1	46316666	+	2	0
1	46316679	+	1	0
1	50326771	+	1	0
1	50326773	+	1	0
1	50326781	+	1	0
1	50326788	+	2	0
1	50326794	+	2	0
1	50326797	+	2	0
1	50326800	+	2	0
1	50326802	+	2	0
1	50326803	+	2	0
1	50326805	+	2	0
1	50326808	+	2	0
1	50326809	+	2	0
1	50326810	+	1	0
1	50326815	+	1	0
1	50941501	-	1	0
1	50941507	-	1	0
1	50941509	-	1	0
1	50941513	-	1	0
1	51250763	-	1	0
1	51250764	-	1	0
1	51250769	-	1	0
1	51250770	-	1	0
1	51250772	-	1	0
1	51250775	-	1	0
1	51250778	-	1	0
1	51250783	-	1	0
1	51250784	-	1	0
1	51250785	-	1	0
1	51250787	-	1	0
1	51250788	-	1	0
1	51250791	-	1	0
1	51250793	-	1	0
1	51250796	-	1	0
1	51250802	-	1	0
1	51250964	-	1	0
1	51250973	-	3	0
1	51250976	-	3	0
1	51250982	-	3	0
1	51250984	-	3	0
1	51250988	-	3	0
1	51250989	-	3	0
1	51250990	-	3	0
1	51250991	-	3	0
1	51250997	-	3	0
1	51250998	-	3	0
1	51251000	-	3	0
1	51251002	-	3	0
1	51251006	-	2	0
1	51251007	-	2	0
1	51251011	-	1	0
1	51251012	-	1	0
1	51251015	-	1	0
1	52772411	-	1	0
1	52772419	-	1	0
1	52772426	-	1	0
1	52772445	-	1	0
1	52772449	-	1	0
1	52772459	-	1	0
1	52772465	-	1	0
1	52772467	-	1	0
1	53975568	-	1	0
1	53975575	-	1	0
1	53975586	-	1	0
1	53975595	-	1	0
1	58631228	-	1	0
1	58631232	-	1	0
1	58631234	-	1	0
1	58631235	-	1	0
1	58631236	-	1	0
1	58631239	-	1	0
1	58631247	-	1	0
1	58631250	-	1	0
1	58631263	-	1	0
1	63788992	-	1	0
1	63788996	-	1	0
1	63789001	-	1	0
1	63789024	-	1	0
1	63789026	-	1	0
1	63789036	-	1	0
1	63789037	-	1	0
1	63789043	-	1	0
1	63789044	-	1	0
1	63789045	-	1	0
1	63789050	-	1	0
1	67420061	-	1	0
1	67420073	-	1	0
1	67420074	-	1	0
1	67420080	-	1	0
1	67420081	-	1	0
1	67420100	-	1	0
1	67420104	-	1	0
1	67420105	-	1	0
1	67420116	-	1	0
1	67420121	-	1	0
1	67430067	-	1	0
1	67430069	-	1	0
1	67430070	-	1	0
1	67430078	-	1	0
1	67430079	-	1	0
1	67430080	-	1	0
1	67430088	-	1	0
1	67430090	-	1	0
1	67430093	-	1	0
1	67430096	-	1	0
1	67430100	-	1	0
1	67430104	-	1	0
1	67430107	-	1	0
1	67430109	-	1	0
1	67430112	-	1	0
1	67430113	-	1	0
1	67430115	-	1	0
1	68242876	-	1	0
1	68242880	-	1	0
1	68242887	-	1	0
1	68242912	-	1	0
1	68242913	-	1	0
1	68242919	-	1	0
1	68242957	-	1	0
1	68242968	-	1	0
1	68242974	-	1	0
1	68242977	-	1	0
1	68242979	-	1	0
1	68242983	-	2	0
1	68242984	-	2	0
1	68242985	-	2	0
1	68242987	-	2	0
1	68242990	-	2	0
1	68242993	-	2	0
1	68242994	-	2	0
1	68242999	-	2	0
1	68243009	-	1	0
1	68243010	-	1	0
1	68243017	-	1	0
1	68243020	-	1	0
1	68243023	-	1	0
1	68243024	-	1	0
1	68243025	-	1	0
1	69970569	+	1	0
1	69970576	+	1	0
1	69970588	+	1	0
1	69970592	+	1	0
1	69970594	+	1	0
1	69970599	+	1	0
1	69970603	+	1	0
1	69970604	+	1	0
1	69970610	+	1	0
1	69970614	+	1	0
1	72274617	+	1	0
1	72274618	+	1	0
1	72274627	+	1	0
1	72274630	+	1	0
1	72274631	+	1	0
1	72274632	+	1	0
1	72274633	+	1	0
1	72274643	+	1	0
1	72274648	+	1	0
